Type,Localisation,Title,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Current_state,Age
Appartements,Racine ,Appartement lumineux neuf de très haut standing,2800000.0,Casablanca,107.0,4.0,3.0,4.0,5.0,['Nouveau'],Nouveau,Non Specifique
Villas,Californie ,"Propriété d'exception sur 4037m², Californie Casa",45000000.0,Casablanca,4037.0,12.0,6.0,7.0,,['Bon état'],Bon état,Non Specifique
Appartements,Gauthier ,"Appartement a vendre Gauthier, luxe, terasse",4200000.0,Casablanca,244.0,4.0,3.0,4.0,6.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Gauthier ,"Duplex 6 ème étage, terrasse ensoleillé 446m",4900000.0,Casablanca,446.0,6.0,5.0,4.0,6.0,['Bon état'],Bon état,Non Specifique
Appartements,Gauthier ,Appartement a vendre sur Gauthier,3400000.0,Casablanca,229.0,4.0,3.0,3.0,1.0,['Bon état'],Bon état,Non Specifique
Appartements,Gauthier ,Appartement a vendre Gauthier,4200000.0,Casablanca,200.0,4.0,3.0,3.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Ain Diab ,Rez de Jardin refait à neuf,2256000.0,Casablanca,94.0,3.0,2.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Casablanca Finance City ,FAUBOURGS D'ANFA Belle terrasse sans vis à vis,2090000.0,Casablanca,99.0,3.0,2.0,2.0,3.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Racine ,"Très bel appartement à vendre, 183 m2, Racine",3500000.0,Casablanca,183.0,5.0,3.0,2.0,4.0,['Bon état'],Bon état,Non Specifique
Appartements,Palmier ,Appt a vendre a palmier sup 258 m 4 ch,3800000.0,Casablanca,258.0,7.0,4.0,3.0,4.0,['Bon état'],Bon état,Non Specifique
Appartements,Californie ,Appartement Rez de jardin de 145m² en vente UTOPIA,1558920.0,Casablanca,145.0,3.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,El Manar - El Hank ,"Appartement de 97m² en vente, Les terrasses d'anfa",1995968.0,Casablanca,97.0,4.0,3.0,2.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement au RDC de 96m² en vente Résidence Les Palmiers,1540000.0,Casablanca,96.0,3.0,2.0,1.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,Casablanca,59.0,3.0,2.0,1.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,Casablanca,59.0,2.0,1.0,1.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement de 56m² en vente Résidence Les Palmiers,1176000.0,Casablanca,56.0,2.0,1.0,1.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,La Gironde ,"Appartement de 90 m² en vente, Résidence Shangai",1035000.0,Casablanca,90.0,4.0,3.0,2.0,5.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Hay Lmkansa ,Vend appartement à Hay Lmkansa. 3 pièces confortables. Parking et terrasse,1995968.0,Casablanca,82.0,3.0,2.0,2.0,3.0,['Nouveau'],Nouveau,Non Specifique
Villas,CIL (Hay Salam) ,Villa commercial dune superficie de 400m2 au cil,10400000.0,Casablanca,400.0,3.0,5.0,3.0,,['À rénover'],À rénover,Non Specifique
Villas,Racine Extension ,"Magnifique villa à vendre à Racine Extension. 5 pièces confortables. Porte blindée, salon marocain",3400000.0,Casablanca,122.0,5.0,3.0,2.0,,['Bon état'],Bon état,Non Specifique
Villas,Les Crêtes ,"Magnifique villa à vendre à Les Crêtes. 4 chambres. Piscine, climatisation",9000000.0,Casablanca,800.0,5.0,4.0,3.0,,['Bon état'],Bon état,Non Specifique
Villas,Sidi Maarouf ,Villa 330m2 Moderne A Islan,3900000.0,Casablanca,330.0,6.0,5.0,4.0,,['Bon état'],Bon état,Non Specifique
Appartements,Val Fleury ,Appartement 77m Haut Standing A Val Fleuri Maarif,1030000.0,Casablanca,77.0,3.0,2.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Les princesses ,Appartement 150m Haut Standing A Les Princesses,2200000.0,Casablanca,150.0,4.0,3.0,3.0,,['Bon état'],Bon état,Non Specifique
Appartements,Maârif Extension ,Vente d'un bel appartement à Casablanca. 3 chambres. Ascenseur et stationnement,1650000.0,Casablanca,113.0,4.0,3.0,2.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Les princesses ,Appartement 121m Haut Standing A Les Princesses,1810000.0,Casablanca,121.0,4.0,2.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Les princesses ,Appartement 131m Haut Standing A Les Princesses,1950000.0,Casablanca,131.0,4.0,3.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Les princesses ,Appartement 130m Neuf Luxe A Les Princesses,2500000.0,Casablanca,130.0,4.0,3.0,2.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Les Hôpitaux ,Appartement 155m Meublé Proche Pasteur,1700000.0,Casablanca,155.0,4.0,3.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Maârif ,Studio 59m Neuf Prés BD Biranzaran,920000.0,Casablanca,59.0,2.0,1.0,2.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Val Fleury ,Vend appartement 121m Luxe A Val Fleuri,1550000.0,Casablanca,121.0,3.0,2.0,1.0,,['Bon état'],Bon état,Non Specifique
Appartements,Ain Diab ,Av superbe appartement ain diab casablanca,5100000.0,Casablanca,230.0,8.0,3.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Les princesses ,Appartement à vendre à les princesses,1570000.0,Casablanca,105.0,3.0,2.0,2.0,1.0,['Bon état'],Bon état,Non Specifique
Villas,Californie ,Vente D’une Magnifique Villa à Californie,16000000.0,Casablanca,1076.0,6.0,5.0,6.0,,['Bon état'],Bon état,Non Specifique
Appartements,Maârif ,Vend appartement à Maârif. 3 pièces confortables. Ascenseur et stationnement,1000000.0,Casablanca,66.0,3.0,2.0,1.0,2.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Californie ,"Appartement de 181m² en vente, Le Prestige Californie",2331280.0,Casablanca,181.0,4.0,3.0,3.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Californie ,"Appartement de 104m² en vente, Le Prestige Californie",1688960.0,Casablanca,104.0,3.0,2.0,2.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Californie ,"Appartement de 113m² en vente, Le Prestige Californie",1771840.0,Casablanca,113.0,4.0,3.0,2.0,3.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Californie ,"Appartement de 100m² en vente, Le Prestige Californie",1624000.0,Casablanca,100.0,4.0,3.0,2.0,4.0,[],Non Specifique,Non Specifique
Appartements,Les princesses ,Appartement de 125m² avec TERRASSE chez MAYFAIR,1760000.0,Casablanca,125.0,3.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,Agréable Appartement à vendre sur CFC,2090000.0,Casablanca,99.0,3.0,2.0,2.0,3.0,[],Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,Studio Luxe avec vue panoramique,1200000.0,Casablanca,51.0,2.0,1.0,1.0,3.0,[],Non Specifique,Non Specifique
Appartements,Maârif ,Studio HS Maarif,850000.0,Casablanca,40.0,2.0,1.0,1.0,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 125m² en vente California Parc,2324380.0,Casablanca,125.0,4.0,3.0,,1.0,[],Non Specifique,Non Specifique
Appartements,Maârif ,Appartement de 100m² en vente Résidence Ô Maarif,2020750.0,Casablanca,100.0,4.0,2.0,2.0,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,"Appartement de 91m² en vente, Résidence Les Allées de Californie",1642500.0,Casablanca,91.0,4.0,3.0,2.0,4.0,[],Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,"Appartement F3 en vente 96m², NEXT HOUSE CASA ANFA",1789000.0,Casablanca,96.0,3.0,2.0,2.0,1.0,[],Non Specifique,Non Specifique
Appartements,Anfa ,Casablanca- bd ziraoui- Vente d'un luxueux studio vide premium,1050000.0,Casablanca,63.0,3.0,2.0,2.0,1.0,[],Non Specifique,Non Specifique
Appartements,Racine ,Appartement a vendre sur racine,1950000.0,Casablanca,99.0,4.0,2.0,2.0,4.0,[],Non Specifique,Non Specifique
Appartements,Bourgogne Est ,Appartement a vendre très moderne,2300000.0,Casablanca,160.0,3.0,2.0,2.0,3.0,[],Non Specifique,Non Specifique
Appartements,Maârif ,"Appartement au dernière étage, soleil terrasse",3500000.0,Casablanca,243.0,4.0,3.0,3.0,5.0,[],Non Specifique,Non Specifique
Villas,Ain Diab ,"Villa isolé, moderne, neuf à vendre sur Ain Diab",27000000.0,Casablanca,1180.0,7.0,4.0,6.0,,[],Non Specifique,Non Specifique
Appartements,Maârif Extension ,Appartement au 7 ème étage avec terrasse,1200000.0,Casablanca,95.0,3.0,2.0,2.0,7.0,[],Non Specifique,Non Specifique
Riad,Ain Diab Extension ,Vente villa à Ain Diab,7300000.0,Casablanca,395.0,7.0,4.0,3.0,,[],Non Specifique,Non Specifique
Appartements,Val Fleury ,Appartement 125m Haut Standing A Val Fleuri,1750000.0,Casablanca,125.0,4.0,3.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Les princesses ,Appartement 204m Neuf Luxe 4 Ch A Les Princesses,2754000.0,Casablanca,204.0,5.0,4.0,3.0,,[],Non Specifique,Non Specifique
Appartements,Les princesses ,Appartement 140m Haut Standing A Les Princesses,2300000.0,Casablanca,140.0,4.0,3.0,3.0,,[],Non Specifique,Non Specifique
Appartements,Val Fleury ,Appartement de 103 m² à vendre à Val fleury,13000000.0,Casablanca,103.0,4.0,2.0,2.0,,[],Non Specifique,Non Specifique
Villas,Californie ,Contemporaine Villa à Californie,7900000.0,Casablanca,450.0,4.0,3.0,3.0,,[],Non Specifique,Non Specifique
Appartements,Les Hôpitaux ,Appartement à l'achat à Les Hôpitaux. 3 chambres agréables. Cheminée et service de conciergerie,2500000.0,Casablanca,167.0,4.0,3.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Oasis ,Vente appartement neuf 93m² avec cour Oasis,1700000.0,Casablanca,93.0,4.0,3.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Hay Alamal ,Bel appartement à vendre à Résidence abraj el fida,800000.0,Casablanca,76.0,3.0,2.0,1.0,4.0,[],Non Specifique,Non Specifique
Appartements,Mers Sultan ,Opportunité à ne pas rater salon 2 chambres zerektouni pas cher,910000.0,Casablanca,91.0,4.0,3.0,2.0,7.0,[],Non Specifique,Non Specifique
Appartements,Beauséjour ,Appartement à vendre Beauséjour 2 terrasses,1222000.0,Casablanca,106.0,3.0,2.0,2.0,4.0,[],Non Specifique,Non Specifique
Appartements,Californie ,"Appartement de 96m² en vente, Le Prestige Californie",1602050.0,Casablanca,96.0,4.0,3.0,3.0,1.0,[],Non Specifique,Non Specifique
Appartements,Californie ,"Appartement au RDC de 106m² en vente, Le Prestige Californie",1626460.0,Casablanca,106.0,4.0,3.0,3.0,,[],Non Specifique,Non Specifique
Appartements,Californie ,"Appartement de 100m² en vente, Le Prestige Californie",1691200.0,Casablanca,100.0,4.0,3.0,2.0,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,"Appartement de 94m² en vente, Le Prestige Californie",1547620.0,Casablanca,94.0,4.0,3.0,2.0,4.0,[],Non Specifique,Non Specifique
Appartements,Oasis ,Appartement de 63m² en vente Résidence Les Palmiers,1386000.0,Casablanca,63.0,3.0,2.0,1.0,3.0,[],Non Specifique,Non Specifique
Appartements,Oasis ,Appartement de 59m² en vente Résidence Les Palmiers,1298000.0,Casablanca,59.0,2.0,1.0,1.0,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 122m² en vente California Parc,1884080.0,Casablanca,122.0,3.0,2.0,,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 147m² en vente California Parc,2687620.0,Casablanca,147.0,4.0,3.0,,2.0,[],Non Specifique,Non Specifique
